"timestamp,kwh"
"2025-01-01 00:00,5.5"
"2025-01-01 01:00,5.1"
"2025-01-01 02:00,4.8"
"2025-01-01 03:00,4.6"
"2025-01-01 04:00,4.5"
"2025-01-01 05:00,4.7"
"2025-01-01 06:00,5.2"
"2025-01-01 07:00,6.0"
"2025-01-01 08:00,7.8"
"2025-01-01 09:00,9.6"
"2025-01-01 10:00,10.4"
"2025-01-01 11:00,11.0"
"2025-01-01 12:00,11.4"
"2025-01-01 13:00,11.6"
"2025-01-01 14:00,11.3"
"2025-01-01 15:00,10.9"
"2025-01-01 16:00,10.2"
"2025-01-01 17:00,9.4"
"2025-01-01 18:00,8.6"
"2025-01-01 19:00,7.8"
"2025-01-01 20:00,6.9"
"2025-01-01 21:00,6.1"
"2025-01-01 22:00,5.7"
"2025-01-01 23:00,5.3"
"2025-01-02 00:00,5.4"
"2025-01-02 01:00,5.0"
"2025-01-02 02:00,4.7"
"2025-01-02 03:00,4.5"
"2025-01-02 04:00,4.4"
"2025-01-02 05:00,4.6"
"2025-01-02 06:00,5.1"
"2025-01-02 07:00,5.9"
"2025-01-02 08:00,7.6"
"2025-01-02 09:00,9.3"
"2025-01-02 10:00,10.0"
"2025-01-02 11:00,10.6"
"2025-01-02 12:00,11.0"
"2025-01-02 13:00,11.2"
"2025-01-02 14:00,11.0"
"2025-01-02 15:00,10.5"
"2025-01-02 16:00,9.8"
"2025-01-02 17:00,9.0"
"2025-01-02 18:00,8.2"
"2025-01-02 19:00,7.5"
"2025-01-02 20:00,6.6"
"2025-01-02 21:00,5.9"
"2025-01-02 22:00,5.5"
"2025-01-02 23:00,5.1"
