"timestamp,kwh"
"2025-01-01 00:00,8.2"
"2025-01-01 01:00,7.9"
"2025-01-01 02:00,7.5"
"2025-01-01 03:00,7.3"
"2025-01-01 04:00,7.2"
"2025-01-01 05:00,7.4"
"2025-01-01 06:00,8.0"
"2025-01-01 07:00,9.2"
"2025-01-01 08:00,11.5"
"2025-01-01 09:00,13.8"
"2025-01-01 10:00,15.1"
"2025-01-01 11:00,16.0"
"2025-01-01 12:00,16.8"
"2025-01-01 13:00,17.4"
"2025-01-01 14:00,17.1"
"2025-01-01 15:00,16.5"
"2025-01-01 16:00,15.9"
"2025-01-01 17:00,15.2"
"2025-01-01 18:00,14.7"
"2025-01-01 19:00,13.4"
"2025-01-01 20:00,12.0"
"2025-01-01 21:00,10.8"
"2025-01-01 22:00,9.3"
"2025-01-01 23:00,8.5"
"2025-01-02 00:00,8.0"
"2025-01-02 01:00,7.7"
"2025-01-02 02:00,7.3"
"2025-01-02 03:00,7.1"
"2025-01-02 04:00,7.0"
"2025-01-02 05:00,7.2"
"2025-01-02 06:00,7.9"
"2025-01-02 07:00,9.0"
"2025-01-02 08:00,11.2"
"2025-01-02 09:00,13.4"
"2025-01-02 10:00,14.7"
"2025-01-02 11:00,15.6"
"2025-01-02 12:00,16.3"
"2025-01-02 13:00,16.9"
"2025-01-02 14:00,16.5"
"2025-01-02 15:00,15.8"
"2025-01-02 16:00,15.1"
"2025-01-02 17:00,14.4"
"2025-01-02 18:00,13.8"
"2025-01-02 19:00,12.7"
"2025-01-02 20:00,11.3"
"2025-01-02 21:00,10.1"
"2025-01-02 22:00,8.9"
"2025-01-02 23:00,8.2"
